Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native,Asian,Black,Native_Hawaiian_Pacific_Islander,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,1,32,0,8,11,0,58,4,113,0,109
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,2,40,1,10,11,0,34,2,98,0,96
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,3,47,0,12,13,0,22,4,98,0,94
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,4,44,2,8,7,0,34,13,108,0,95
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,5,45,1,10,13,0,34,4,107,0,103
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,KG,31,0,9,10,0,41,4,95,0,91
7,ARLINGTON CO PBLC SCHS,350,ABINGDON ELEM,PK,13,0,4,8,0,8,3,36,0,33
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,9,6,0,1,0,0,0,0,7,0,7
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,10,16,0,0,2,0,0,0,18,0,18
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,11,25,1,1,0,0,2,0,29,0,29
7,ARLINGTON CO PBLC SCHS,618,ARLINGTON COMMUNITY HIGH ,12,91,1,7,9,0,5,1,114,0,113
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,1,6,0,28,12,0,38,9,93,0,84
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,2,10,0,35,10,0,50,20,125,0,105
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,3,4,1,32,13,0,56,9,115,0,106
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,4,7,0,30,7,0,58,23,125,0,102
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,5,4,0,19,9,0,62,11,105,0,94
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,KG,5,0,22,11,0,49,13,100,0,87
7,ARLINGTON CO PBLC SCHS,613,ARLINGTON SCIENCE FOCUS,PK,1,0,9,5,0,2,1,18,0,17
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,1,23,0,20,12,0,35,6,96,0,90
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,2,12,0,9,8,0,32,11,72,0,61
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,3,13,0,13,10,0,28,8,72,0,64
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,4,8,0,8,10,0,32,12,70,0,58
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,5,13,0,18,5,0,46,13,95,0,82
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,KG,13,1,18,15,0,43,6,96,0,90
7,ARLINGTON CO PBLC SCHS,470,ARLINGTON TRADITIONAL,PK,11,0,14,11,0,2,1,39,0,38
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,1,19,0,14,3,1,38,13,88,0,75
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,2,18,1,13,4,0,74,8,118,0,110
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,3,20,2,17,8,0,83,10,140,0,130
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,4,20,0,9,3,0,58,10,100,0,90
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,5,17,1,8,5,0,56,8,95,0,87
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,KG,13,0,20,4,0,73,11,121,0,110
7,ARLINGTON CO PBLC SCHS,490,ASHLAWN ELEM,PK,12,0,2,3,0,6,4,27,0,23
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,1,27,0,1,5,0,22,2,57,0,55
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,2,31,0,5,8,0,18,2,64,0,62
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,3,40,0,2,9,1,16,2,70,0,68
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,4,31,0,6,10,0,13,5,65,0,60
7,ARLINGTON CO PBLC SCHS,150,BARCROFT ELEM,5,34,0,3,6,0,25,1,69,0,68
