Division No.,Division Name,School No.,School Name,Grade,Hispanic,American_Indian_Alaska_Native ,Asian,Black,Native_Hawaiian_Pacific_Islander ,White,Two_More_Races,"TotalFull-time Students",Part-time Students,Totals
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,1,3,0,7,6,1,95,14,126,0,126
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,2,14,0,3,2,0,94,13,126,0,126
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,3,12,0,5,5,0,82,14,118,0,118
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,4,15,0,5,5,0,112,7,144,0,144
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,5,6,0,3,4,0,55,9,77,0,77
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,KG,14,0,6,5,0,81,15,121,0,121
7,ARLINGTON CO PBLC SCHS,380,MCKINLEY ELEM,PK,4,0,1,2,0,5,2,14,0,14
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,1,4,0,8,1,0,63,12,88,0,88
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,2,5,0,4,0,0,62,6,77,0,77
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,3,7,0,9,1,0,65,10,92,0,92
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,4,4,0,6,1,0,61,1,73,0,73
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,5,2,0,3,2,1,49,2,59,0,59
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,KG,4,0,7,0,1,55,13,80,0,80
7,ARLINGTON CO PBLC SCHS,410,NOTTINGHAM ELEM,PK,0,0,0,0,0,0,0,0,0,0
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,1,16,1,18,16,0,58,4,113,0,113
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,2,18,2,15,17,0,65,8,125,0,125
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,3,25,1,23,22,0,62,6,139,0,139
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,4,18,2,21,30,0,64,6,141,0,141
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,5,26,1,12,25,1,61,5,131,0,131
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,KG,25,0,19,20,0,60,7,131,0,131
7,ARLINGTON CO PBLC SCHS,360,OAKRIDGE ELEM,PK,4,0,3,7,0,8,1,23,0,23
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,1,35,0,15,17,0,8,1,76,0,76
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,2,37,1,8,15,0,7,0,68,0,68
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,3,35,0,3,13,0,6,1,58,0,58
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,4,40,0,6,18,0,9,1,74,0,74
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,5,35,0,7,13,0,7,1,63,0,63
7,ARLINGTON CO PBLC SCHS,510,RANDOLPH ELEM,KG,33,0,6,11,0,10,0,60,0,60
